driver_id,person_key,creation_rule,lead_events_count,action,status,error
ff2a34043c484f678cf16f533aa28849,f2e2c659-434c-460a-8a50-08b1c37188f0,R1_PHONE_EXACT,0,quarantined,quarantined,
151dc0715106491595e9329afc3a7ff4,b375354c-dd1b-4680-94e6-c9638eaf8aa3,R1_PHONE_EXACT,0,quarantined,quarantined,
4a052c3a4b724952a9b673ed2fe469f3,c09c41ce-690f-4171-b155-a928774c812f,R1_PHONE_EXACT,0,quarantined,quarantined,
7288764186ac4f6a898a996b8422569a,e677578a-943b-48eb-9f81-24322c1c2ef0,R1_PHONE_EXACT,0,quarantined,quarantined,
88bdd0297f614a5c8d7c0e3f2c51a017,9763b654-e2b6-4082-a762-ebd080ec92a1,R1_PHONE_EXACT,0,quarantined,quarantined,
aa21b1d57a7c44bb8c725338e0171b33,0dff3291-577e-4be0-ab6c-696dadc767c7,R2_LICENSE_EXACT,0,quarantined,quarantined,
fe391d3c10fc4885b4ae4e76c254aab2,5a1aa7c1-fa03-41d5-8f60-e8a55003ab1c,R1_PHONE_EXACT,0,quarantined,quarantined,
1c063e61e7a44beb99134e99100f5bd2,5fb15cb0-a77f-4c80-a085-c87f535d2df5,R1_PHONE_EXACT,0,quarantined,quarantined,
d32aa1e2c54e4cc8a251c5c242123365,5b9246db-fb87-4755-a86a-8d9f993c040b,R1_PHONE_EXACT,0,quarantined,quarantined,
0bb6b2dd588c43e98874973de208919e,cedcde3b-2078-4742-97da-8755d953429e,R1_PHONE_EXACT,0,quarantined,quarantined,
672053fb2c4e42efa1dc6e3d997f0174,c118179c-589d-4f4e-9d9e-5adbfe50c2be,R1_PHONE_EXACT,0,quarantined,quarantined,
ce4fe7132b1a43919ea83a4aa65fcc23,3c78d6cd-1440-45d9-850e-7220f0666d77,R1_PHONE_EXACT,0,quarantined,quarantined,
91f3730457994381ad2f462747da29e0,b607d9ae-51f8-414d-8ea9-46bd902f56a7,R1_PHONE_EXACT,0,quarantined,quarantined,
90258a42619a4ec4b6bf245e1bf94c38,68d09332-78ff-4e83-9299-758e94471269,R1_PHONE_EXACT,0,quarantined,quarantined,
7db4d772c1be4df58f1491cb1345ee68,d408959f-9b88-40e3-a42e-c9a1f820ca41,R1_PHONE_EXACT,0,quarantined,quarantined,
ccace11929794bc09533490b9c2d753e,fafaeb49-bdd5-4190-904f-0653645af6cd,R1_PHONE_EXACT,0,quarantined,quarantined,
f16cbb47990443dbbf0bf07200843f42,24ee9437-2278-4d9d-a1b8-1965187e5afb,R1_PHONE_EXACT,0,quarantined,quarantined,
11f239fd8968441f9232cff1d9a340ec,93b561a0-624c-45fe-9a4b-763155a94ca1,R1_PHONE_EXACT,0,quarantined,quarantined,
3ecaf3e20f704d9fb5e243b1bec99699,a4b6d5cd-6e2d-424f-b116-aec2a4cfad84,R1_PHONE_EXACT,0,quarantined,quarantined,
662304a510294f838322e830d94154a5,d1f7d5eb-c6b0-40ab-acd8-d9fbbfbdedcd,R1_PHONE_EXACT,0,quarantined,quarantined,
d5a976ef75a54cad9681aba6480661e8,037b8725-058b-40ee-9723-b223a2376608,R1_PHONE_EXACT,0,quarantined,quarantined,
54993ec393324ff88ff3e038e1e69ed0,619e5a18-de39-4610-a7f7-2ccc41f4c66f,R1_PHONE_EXACT,0,quarantined,quarantined,
7b5e8555d4a8477fa79b1e78f37f0f5a,51094c69-d223-44e4-b4f3-09ad155bc490,R1_PHONE_EXACT,0,quarantined,quarantined,
ed81388a8adc4c32986aa53bc0c58028,6c2cce9a-88af-4c76-81d5-a31c0f0dc437,R1_PHONE_EXACT,0,quarantined,quarantined,
6867eb8fedfa491dad61c78c77d4c6e8,19e035a1-b2a3-4553-96fb-346bae6597c5,R1_PHONE_EXACT,0,quarantined,quarantined,
ba51e38c68dc4ee099636983e374f746,774bfea3-9838-4a72-9bec-41246033845f,R1_PHONE_EXACT,0,quarantined,quarantined,
3b612f67b2a24c81a9f44a01e89b916a,3187b3fa-f164-4509-a313-9e68235c5629,R1_PHONE_EXACT,0,quarantined,quarantined,
0dbfe8d42cb947cc813136ee779772ea,7258a2a0-b6e3-4b08-a5d4-23e4182489a7,R1_PHONE_EXACT,0,quarantined,quarantined,
66f69e6206e24e82afe664d2961fe7f6,6548793f-eefd-4e73-82f2-59657b7a2577,R1_PHONE_EXACT,0,quarantined,quarantined,
4e4f4aa8e4e8406d9fac23206f1cf4fa,ece0af22-6051-4e26-b40b-89163f52a362,R1_PHONE_EXACT,0,quarantined,quarantined,
eca92cabac8341869eb35cace53bf77a,0cea51a5-b43c-462d-bd17-75a3f698c811,R1_PHONE_EXACT,0,quarantined,quarantined,
9765a633a6b2454486701688a1bad779,3c901134-a2cc-4891-b623-5235efa3f602,R1_PHONE_EXACT,0,quarantined,quarantined,
8159b0e65c93490ebb69d6160654996b,cb8a814a-a321-4873-813c-200ac8cfe77c,R1_PHONE_EXACT,0,quarantined,quarantined,
e198617db60b4e32a38a129dd1294d4d,b0ec1036-c545-4ae9-be36-d353968a9e10,R1_PHONE_EXACT,0,quarantined,quarantined,
07ba875b7e58419f8e88a3b94879a1d8,00437d37-c8d8-4011-bbe0-714c728d0d84,R1_PHONE_EXACT,0,quarantined,quarantined,
5b48fa760af148ec8894ad2d89eca68b,f68f1735-c21b-485f-8ccc-ef698b274edd,R1_PHONE_EXACT,0,quarantined,quarantined,
4cb68e950a0446b48017df1cc9aaa714,bf13cbcb-5c5e-4633-bc9e-6d5a696dab00,R1_PHONE_EXACT,0,quarantined,quarantined,
8f9dcd201c0c4fed998474af09f534e4,7354bf52-9fe6-4c5f-958c-5860e7cc4f97,R1_PHONE_EXACT,0,quarantined,quarantined,
2d347b30e73d4b88b4eb7f93c17cca00,5bd840ec-b842-46d6-bbff-85a42cb2759e,R1_PHONE_EXACT,0,quarantined,quarantined,
a7d21a5e86b841e49429424be2cf81af,b73ef12a-533d-488c-98fd-c88cd954ce7e,R1_PHONE_EXACT,0,quarantined,quarantined,
6fa03e27cb8b44d9916005a93bd92f73,e31484dd-08f5-4038-90e2-d44ed2111ba1,R1_PHONE_EXACT,0,quarantined,quarantined,
d81ff34d35d046768a7ddf89a26f351a,fbd3d6e3-608d-4801-b24e-7abe7b382128,R1_PHONE_EXACT,0,quarantined,quarantined,
b916c400a323475cbe828f923874e899,6a220e64-f413-44ef-a0f8-d73ac8171d0a,R1_PHONE_EXACT,0,quarantined,quarantined,
f531b914e6794718a7150662280bc77a,a400682d-8c1b-4ebf-901b-072ad1225107,R1_PHONE_EXACT,0,quarantined,quarantined,
85a40f2575a949dd8301fe94dd6243ee,76ef2fd7-2119-4d2b-a678-949c2f4c40de,R1_PHONE_EXACT,0,quarantined,quarantined,
bed448d643a34463bf9f23c294265880,3c6bc4c7-e767-4226-9cb6-09862db19244,R1_PHONE_EXACT,0,quarantined,quarantined,
e3031b29f7df459ba5cf1a1a06c46b00,bd5aaff4-fff6-4436-8c2b-cca46a202b7f,R1_PHONE_EXACT,0,quarantined,quarantined,
40745f41faa64c6a976c6e24580e6303,82201eac-f250-4cfb-8462-dab79afbbbb2,R1_PHONE_EXACT,0,quarantined,quarantined,
